樹種,区分,樹高(m),枝張(m),幹周(cm）,行政区,種別,整理番号,路線名,通称道路名,経度,緯度
アオギリ,高木,6.5,2,78,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745072,35.623868
アオギリ,高木,7,2,68,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745307,35.623827
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745301,35.623872
アオギリ,高木,7.5,3,78,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745064,35.623938
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745295,35.623904
アオギリ,高木,6,1.5,28,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745294,35.623942
アオギリ,高木,7,2,70,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745054,35.624012
アオギリ,高木,5.5,1.5,21,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745045,35.624081
アオギリ,高木,6.5,2,23,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745279,35.624058
アオギリ,高木,4.5,1,23,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745039,35.624145
アオギリ,高木,5,1,22,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745263,35.62419
アオギリ,高木,4.5,1,19,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745017,35.624353
アオギリ,高木,7.5,2.5,98,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.74525,35.624313
アオギリ,高木,7.5,2.5,86,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745007,35.6244
アオギリ,高木,7,3,65,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744966,35.624738
アオギリ,高木,5.5,1,21,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744956,35.62481
アオギリ,高木,8.5,2,106,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745189,35.624767
アオギリ,高木,5.5,1.5,19,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744947,35.624875
アオギリ,高木,6.5,2.5,70,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744942,35.624914
アオギリ,高木,5.5,1,20,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745177,35.624858
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745172,35.624875
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745171,35.624888
アオギリ,高木,5.5,1,28,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.74517,35.624902
アオギリ,高木,5.5,1.5,60,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745161,35.624976
アオギリ,高木,5.5,1.5,62,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745133,35.625196
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745127,35.625233
トキワマンサク,中木,2,,,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.745124,35.625265
アオギリ,高木,4.5,1,17,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744865,35.625511
アオギリ,高木,5,2,68,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744855,35.625581
アオギリ,高木,6,2,71,港区,主要地方道,316,日本橋芝浦大森線,旧海岸通り,139.744847,35.625654
